index,depth_value,angle,direction
0,2047,-29,0
1,2047,-28,0
2,2047,-27,0
3,2047,-26,0
4,2047,-25,0
5,2047,-24,0
6,2047,-23,0
7,2047,-22,0
8,476,-21,0
9,478,-20,0
10,497,-19,0
11,628,-18,0
12,627,-17,0
13,625,-16,0
14,612,-15,0
15,610,-14,0
16,602,-13,0
17,595,-12,0
18,591,-11,0
19,591,-10,0
20,562,-9,0
21,560,-8,0
22,538,-7,0
23,537,-6,0
24,537,-5,0
25,530,-4,0
26,525,-3,0
27,523,-2,0
28,521,-1,0
29,515,0,0
30,514,1,0
31,485,2,0
32,484,3,0
33,478,4,0
34,477,5,0
35,468,6,0
36,468,7,0
37,470,8,0
38,471,9,0
39,474,10,0
40,489,11,0
41,494,12,0
42,496,13,0
43,496,14,0
44,2047,15,0
45,2047,16,0
46,942,17,0
47,944,18,0
48,944,19,0
49,945,20,0
50,946,21,0
51,948,22,0
52,948,23,0
53,949,24,0
54,951,25,0
55,952,26,0
56,952,27,0
57,954,28,0
58,955,29,0
59,956,30,0
60,957,29,1